ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,pop_WPOP20_C4,pop_WPOP20_C3,pop_WPOP20_C2,pop_WPOP20_C1,pop_WPOP20_C0,pop_WPOP20_C4%,pop_WPOP20_C3%,pop_WPOP20_C2%,pop_WPOP20_C1%,pop_WPOP20_C0%
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,0,0,0,0,0,0,0,0,0,0,0
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,8230.104,0,0,7846.433,7846.433,7846.433,0,0,0.953381998574988,0.953381998574988,0.953381998574988
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,3889.534,0,0,3525.38,3525.38,3525.38,0,0,0.906375930895578,0.906375930895578,0.906375930895578
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,8769.965,0,0,8655.419,8655.419,8655.419,0,0,0.986938830428628,0.986938830428628,0.986938830428628
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,9087.185,0,0,8881.603,8881.603,8881.603,0,0,0.977376712370222,0.977376712370222,0.977376712370222
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,11289.864,0,0,10410.78,10410.78,10410.78,0,0,0.92213511163642,0.92213511163642,0.92213511163642
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,14692.772,0,0,13821.548,13821.548,13821.548,0,0,0.940703905294386,0.940703905294386,0.940703905294386
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,6858.777,0,0,6858.778,6858.778,6858.778,0,0,1,1,1
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,4013.603,0,0,3679.794,3679.794,3679.794,0,0,0.916830588376578,0.916830588376578,0.916830588376578
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,14812.475,0,0,12446.481,12446.481,12446.481,0,0,0.840270177671186,0.840270177671186,0.840270177671186
141201,1412,14,KHM,Ampil Krau,Sithor Kandal,Prey Veng,Cambodia,5899.683,0,0,5562.547,5562.547,5562.547,0,0,0.942855234764308,0.942855234764308,0.942855234764308
20405,204,2,KHM,Ampil Pram Daeum,Bavel,Battambang,Cambodia,41635.859,0,0,41353.54,41353.54,41353.54,0,0,0.993219330481449,0.993219330481449,0.993219330481449
250301,2503,25,KHM,Ampil Ta Pok,Ou Reang Ov,Tboung Khmum,Cambodia,10383.107,0,0,9674.955,9674.955,9674.955,0,0,0.931797678671712,0.931797678671712,0.931797678671712
40501,405,4,KHM,Ampil Tuek,Kampong Tralach,Kampong Chhnang,Cambodia,10519.1,0,0,8670.024,8670.024,8670.024,0,0,0.824217280946088,0.824217280946088,0.824217280946088
80101,801,8,KHM,Ampov Prey,Kandal Stueng,Kandal,Cambodia,8708.492,0,0,8050.095,8050.095,8050.095,0,0,0.924395980383286,0.924395980383286,0.924395980383286
20702,207,2,KHM,Andaeuk Haeb,Rotonak Mondol,Battambang,Cambodia,5932.703,0,0,5724.27,5724.27,5724.27,0,0,0.96486711032054,0.96486711032054,0.96486711032054
70804,708,7,KHM,Andoung Khmer,Kampot,Kampot,Cambodia,9987.908,0,0,9554.063,9554.063,9554.063,0,0,0.956562975950519,0.956562975950519,0.956562975950519
60912,609,6,KHM,Andoung Pou,Taing Kouk,Kampong Thom,Cambodia,5158.762,0,0,4648.333,4648.333,4648.333,0,0,0.901055912251815,0.901055912251815,0.901055912251815
200402,2004,20,KHM,Andoung Pou,Romeas Haek,Svay Rieng,Cambodia,4228.562,0,0,4130.013,4130.013,4130.013,0,0,0.976694441278146,0.976694441278146,0.976694441278146
40601,406,4,KHM,Andoung Snay,Rolea B'ier,Kampong Chhnang,Cambodia,8207.354,0,0,7770.886,7770.886,7770.886,0,0,0.946819888602344,0.946819888602344,0.946819888602344
180201,1802,18,KHM,Andoung Thma,Prey Nob,Preah Sihanouk,Cambodia,5671.214,0,0,5439.397,5439.397,5439.397,0,0,0.959123919499423,0.959123919499423,0.959123919499423
200403,2004,20,KHM,Andoung Trabaek,Romeas Haek,Svay Rieng,Cambodia,6016.929,0,0,6016.929,6016.929,6016.929,0,0,1,1,1
90101,901,9,KHM,Andoung Tuek,Botum Sakor,Koh Kong,Cambodia,4527.088,0,0,4129.295,4129.295,4129.295,0,0,0.91213049094694,0.91213049094694,0.91213049094694
70609,706,7,KHM,Ang Sophy,Kampong Trach,Kampot,Cambodia,3817.7,0,0,3695.064,3695.064,3695.064,0,0,0.967876994001624,0.967876994001624,0.967876994001624
211006,2110,21,KHM,Angk Kaev,Treang,Takeo,Cambodia,3726.479,0,0,3726.479,3726.479,3726.479,0,0,1,1,1
211002,2110,21,KHM,Angk Khnor,Treang,Takeo,Cambodia,3753.406,0,0,3564.936,3564.936,3564.936,0,0,0.949786940181797,0.949786940181797,0.949786940181797
70101,701,7,KHM,Angk Phnum Touch,Angkor Chey,Kampot,Cambodia,3326.993,0,0,2989.068,2989.068,2989.068,0,0,0.89842930237605,0.89842930237605,0.89842930237605
50301,503,5,KHM,Angk Popel,Kong Pisei,Kampong Speu,Cambodia,6374.298,0,0,5856.931,5856.931,5856.931,0,0,0.918835454508089,0.918835454508089,0.918835454508089
210401,2104,21,KHM,Angk Prasat,Kiri Vong,Takeo,Cambodia,5972.312,0,0,5660.345,5660.345,5660.345,0,0,0.947764450350216,0.947764450350216,0.947764450350216
200404,2004,20,KHM,Angk Prasrae,Romeas Haek,Svay Rieng,Cambodia,4155.001,0,0,3981.924,3981.924,3981.924,0,0,0.9583448957052,0.9583448957052,0.9583448957052
70509,705,7,KHM,Angk Romeas,Dang Tong,Kampot,Cambodia,8506.271,0,0,8187.432,8187.432,8187.432,0,0,0.96251718291129,0.96251718291129,0.96251718291129
210901,2109,21,KHM,Angk Ta Saom,Tram Kak,Takeo,Cambodia,13925.099,0,0,13299.218,13299.218,13299.218,0,0,0.955053748630441,0.955053748630441,0.955053748630441
200501,2005,20,KHM,Angk Ta Sou,Svay Chrum,Svay Rieng,Cambodia,4300.595,0,0,4300.595,4300.595,4300.595,0,0,1,1,1
210601,2106,21,KHM,Angkanh,Prey Kabbas,Takeo,Cambodia,4558.822,0,0,4386.575,4386.575,4386.575,0,0,0.962216774421111,0.962216774421111,0.962216774421111
211001,2110,21,KHM,Angkanh,Treang,Takeo,Cambodia,3667.699,0,0,3667.699,3667.699,3667.699,0,0,1,1,1
230101,2301,23,KHM,Angkaol,Damnak Chang'aeur,Kep,Cambodia,12171.985,0,0,10148.827,10148.827,10148.827,0,0,0.833785697238371,0.833785697238371,0.833785697238371
140601,1406,14,KHM,Angkor Angk,Peam Chor,Prey Veng,Cambodia,2320.586,0,0,1955.383,1955.383,1955.383,0,0,0.842624664632123,0.842624664632123,0.842624664632123
21002,210,2,KHM,Angkor Ban,Sampov Lun,Battambang,Cambodia,1878.817,0,0,1690.459,1690.459,1690.459,0,0,0.899746489413285,0.899746489413285,0.899746489413285
30701,307,3,KHM,Angkor Ban,Kang Meas,Kampong Cham,Cambodia,7297.672,0,0,7264.882,7264.882,7264.882,0,0,0.99550678627376,0.99550678627376,0.99550678627376
210101,2101,21,KHM,Angkor Borei,Angkor Borei,Takeo,Cambodia,10530.777,0,0,10107.574,10107.574,10107.574,0,0,0.959812746960647,0.959812746960647,0.959812746960647
140901,1409,14,KHM,Angkor Reach,Preah Sdach,Prey Veng,Cambodia,10313.353,0,0,9935.084,9935.084,9935.084,0,0,0.963322403489922,0.963322403489922,0.963322403489922
140501,1405,14,KHM,Angkor Sar,Me Sang,Prey Veng,Cambodia,7394.276,0,0,7156.379,7156.379,7156.379,0,0,0.967826870406244,0.967826870406244,0.967826870406244
141301,1413,14,KHM,Angkor Tret,Svay Antor,Prey Veng,Cambodia,6486.06,0,0,6277.913,6277.913,6277.913,0,0,0.967908560821207,0.967908560821207,0.967908560821207
250201,2502,25,KHM,Anhchaeum,Tboung Khmum,Tboung Khmum,Cambodia,13216.03,0,0,12548.218,12548.218,12548.218,0,0,0.949469545695644,0.949469545695644,0.949469545695644
40101,401,4,KHM,Anhchanh Rung,Baribour,Kampong Chhnang,Cambodia,0,0,0,0,0,0,0,0,0,0,0
70102,701,7,KHM,Ankor Chey,Angkor Chey,Kampot,Cambodia,2526.719,0,0,1943.52,1943.52,1943.52,0,0,0.769187234512425,0.769187234512425,0.769187234512425
190505,1905,19,KHM,Anlong Chrey,Thala Barivat,Stung Treng,Cambodia,3508.059,0,0,3197.905,3197.905,3197.905,0,0,0.911588146037453,0.911588146037453,0.911588146037453
190501,1905,19,KHM,Anlong Phe,Thala Barivat,Stung Treng,Cambodia,3737.997,0,0,3737.997,3737.997,3737.997,0,0,1,1,1
150603,1506,15,KHM,Anlong Reab,Veal Veaeng,Pursat,Cambodia,3703.175,0,0,3703.175,3703.175,3703.175,0,0,1,1,1
80102,801,8,KHM,Anlong Romiet,Kandal Stueng,Kandal,Cambodia,8258.351,0,0,7694.681,7694.681,7694.681,0,0,0.931745453783691,0.931745453783691,0.931745453783691
20205,202,2,KHM,Anlong Run,Thma Koul,Battambang,Cambodia,3739.767,0,0,3739.767,3739.767,3739.767,0,0,1,1,1
170401,1704,17,KHM,Anlong Samnar,Chi Kraeng,Siemreap,Cambodia,14641.217,0,0,14641.216,14641.216,14641.216,0,0,0.999999931699667,0.999999931699667,0.999999931699667
150301,1503,15,KHM,Anlong Tnaot,Krakor,Pursat,Cambodia,10452.87,0,0,9688.582,9688.582,9688.582,0,0,0.926882473425959,0.926882473425959,0.926882473425959
220101,2201,22,KHM,Anlong Veaeng,Anlong Veaeng,Oddar Meanchey,Cambodia,122674.672,0,6136.678,121567.527,121567.527,121567.527,0,0.0500240016944981,0.990974950395628,0.990974950395628,0.990974950395628
20801,208,2,KHM,Anlong Vil,Sangkae,Battambang,Cambodia,19249.785,0,0,17594.148,17594.148,17594.148,0,0,0.913991922507186,0.913991922507186,0.913991922507186
150201,1502,15,KHM,Anlong Vil,Kandieng,Pursat,Cambodia,8147.28,0,0,7052.441,7052.441,7052.441,0,0,0.865619077778105,0.865619077778105,0.865619077778105
150302,1503,15,KHM,Ansa Chambak,Krakor,Pursat,Cambodia,7737.501,0,0,7737.501,7737.501,7737.501,0,0,1,1,1
140301,1403,14,KHM,Ansaong,Kampong Trabaek,Prey Veng,Cambodia,5417.289,0,0,5417.289,5417.289,5417.289,0,0,1,1,1
31501,315,3,KHM,Areaks Tnot,Stueng Trang,Kampong Cham,Cambodia,12687.811,0,0,12687.809,12687.809,12687.809,0,0,0.999999842368396,0.999999842368396,0.999999842368396
40303,403,4,KHM,B'er,Kampong Chhnang,Kampong Chhnang,Cambodia,6089.078,0,0,5159.912,5159.912,5159.912,0,0,0.847404483897234,0.847404483897234,0.847404483897234
140701,1407,14,KHM,Ba Baong,Peam Ro,Prey Veng,Cambodia,7163.718,0,0,6598.343,6598.343,6598.343,0,0,0.92107799329901,0.92107799329901,0.92107799329901
210102,2101,21,KHM,Ba Srae,Angkor Borei,Takeo,Cambodia,9364.596,0,0,8996.462,8996.462,8996.462,0,0,0.960688747277512,0.960688747277512,0.960688747277512
160505,1605,16,KHM,Ba Tang,Lumphat,Ratanak Kiri,Cambodia,9443.089,0,0,9443.089,9443.089,9443.089,0,0,1,1,1
80801,808,8,KHM,Baek Chan,Angk Snuol,Kandal,Cambodia,29894.99,0,0,29171.068,29171.068,29171.068,0,0,0.975784504360095,0.975784504360095,0.975784504360095
220501,2205,22,KHM,Bak Anloung,Trapeang Prasat,Oddar Meanchey,Cambodia,26235.941,0,0,26043.078,26043.078,26043.078,0,0,0.992648900986628,0.992648900986628,0.992648900986628
150401,1504,15,KHM,Bak Chenhchien,Phnum Kravanh,Pursat,Cambodia,4753.512,0,0,4753.512,4753.512,4753.512,0,0,1,1,1
80301,803,8,KHM,Bak Dav,Khsach Kandal,Kandal,Cambodia,2190.006,0,0,1381.25,1381.25,1381.25,0,0,0.630706034595339,0.630706034595339,0.630706034595339
121005,1210,12,KHM,Bak Kaeng,Chraoy Chongvar,Phnom Penh,Cambodia,9975.116,0,0,9433.647,9433.647,9433.647,0,0,0.945718024732745,0.945718024732745,0.945718024732745
60101,601,6,KHM,Bak Sna,Baray,Kampong Thom,Cambodia,8245.277,0,0,8245.277,8245.277,8245.277,0,0,1,1,1
170902,1709,17,KHM,Bakong,Prasat Bakong,Siemreap,Cambodia,11023.928,0,0,10841.993,10841.993,10841.993,0,0,0.983496354475465,0.983496354475465,0.983496354475465
60102,601,6,KHM,Ballangk,Baray,Kampong Thom,Cambodia,19422.504,0,0,19095.861,19095.861,19095.861,0,0,0.983182240559714,0.983182240559714,0.983182240559714
170903,1709,17,KHM,Ballangk,Prasat Bakong,Siemreap,Cambodia,5475.333,0,0,5056.447,5056.447,5056.447,0,0,0.923495794684999,0.923495794684999,0.923495794684999
210602,2106,21,KHM,Ban Kam,Prey Kabbas,Takeo,Cambodia,6369.865,0,0,5912.61,5912.61,5912.61,0,0,0.928215904104718,0.928215904104718,0.928215904104718
70301,703,7,KHM,Baniev,Chhuk,Kampot,Cambodia,5617.045,0,0,4581.56,4581.56,4581.56,0,0,0.815653070253131,0.815653070253131,0.815653070253131
140702,1407,14,KHM,Banlich Prasat,Peam Ro,Prey Veng,Cambodia,4653.557,0,0,3526.936,3526.936,3526.936,0,0,0.757901106615864,0.757901106615864,0.757901106615864
220401,2204,22,KHM,Bansay Reak,Samraong,Oddar Meanchey,Cambodia,22394.189,0,0,13997.72,13997.72,13997.72,0,0,0.625060367222943,0.625060367222943,0.625060367222943
20209,202,2,KHM,Bansay Traeng,Thma Koul,Battambang,Cambodia,6628.509,0,0,6602.442,6602.442,6602.442,0,0,0.996067441411032,0.996067441411032,0.996067441411032
140902,1409,14,KHM,Banteay Chakrei,Preah Sdach,Prey Veng,Cambodia,15223.441,0,0,13985.496,13985.496,13985.496,0,0,0.918681656794939,0.918681656794939,0.918681656794939
10701,107,1,KHM,Banteay Chhmar,Thma Puok,Banteay Meanchey,Cambodia,17422.627,0,0,16791.096,16791.096,16791.096,0,0,0.963752251597879,0.963752251597879,0.963752251597879
80201,802,8,KHM,Banteay Daek,Kien Svay,Kandal,Cambodia,17217.715,0,0,16802.222,16802.222,16802.222,0,0,0.97586828449652,0.97586828449652,0.97586828449652
150508,1505,15,KHM,Banteay Dei,Pursat,Pursat,Cambodia,3605.222,0,0,3055.352,3055.352,3055.352,0,0,0.847479572686508,0.847479572686508,0.847479572686508
200201,2002,20,KHM,Banteay Krang,Kampong Rou,Svay Rieng,Cambodia,2784.229,0,0,2551.726,2551.726,2551.726,0,0,0.916492860321475,0.916492860321475,0.916492860321475
70201,702,7,KHM,Banteay Meas Khang Kaeut,Banteay Meas,Kampot,Cambodia,5742.346,0,0,5742.346,5742.346,5742.346,0,0,1,1,1
70202,702,7,KHM,Banteay Meas Khang Lech,Banteay Meas,Kampot,Cambodia,5961.308,0,0,5961.308,5961.308,5961.308,0,0,1,1,1
10201,102,1,KHM,Banteay Neang,Mongkol Borei,Banteay Meanchey,Cambodia,16113.562,0,0,15595.828,15595.828,15595.828,0,0,0.96786967400504,0.96786967400504,0.96786967400504
40602,406,4,KHM,Banteay Preal,Rolea B'ier,Kampong Chhnang,Cambodia,3697.233,0,0,3697.233,3697.233,3697.233,0,0,1,1,1
60801,608,6,KHM,Banteay Stoung,Stoung,Kampong Thom,Cambodia,7887.899,0,0,7330.517,7330.517,7330.517,0,0,0.929337076958009,0.929337076958009,0.929337076958009
160701,1607,16,KHM,Bar Kham,Ou Ya Dav,Ratanak Kiri,Cambodia,3057.915,0,0,3057.915,3057.915,3057.915,0,0,1,1,1
240104,2401,24,KHM,Bar Yakha,Pailin,Pailin,Cambodia,4464.141,0,0,4176.246,4176.246,4176.246,0,0,0.935509429473666,0.935509429473666,0.935509429473666
21104,211,2,KHM,Barang Thleak,Phnum Proek,Battambang,Cambodia,41280.59,0,0,40931.547,40931.547,40931.547,0,0,0.991544621818632,0.991544621818632,0.991544621818632
31301,313,3,KHM,Baray,Prey Chhor,Kampong Cham,Cambodia,9316.27,0,0,9113.151,9113.151,9113.151,0,0,0.97819739015722,0.97819739015722,0.97819739015722
31401,314,3,KHM,Baray,Srei Santhor,Kampong Cham,Cambodia,6478.799,0,0,6478.799,6478.799,6478.799,0,0,1,1,1
60103,601,6,KHM,Baray,Baray,Kampong Thom,Cambodia,8046.788,0,0,7712.068,7712.068,7712.068,0,0,0.958403278426125,0.958403278426125,0.958403278426125
141001,1410,14,KHM,Baray,Prey Veng,Prey Veng,Cambodia,4721.877,0,0,4412.529,4412.529,4412.529,0,0,0.934486222322182,0.934486222322182,0.934486222322182
210801,2108,21,KHM,Baray,Doun Kaev,Takeo,Cambodia,9961.961,0,0,9530.556,9530.556,9530.556,0,0,0.956694771240321,0.956694771240321,0.956694771240321
80103,801,8,KHM,Barku,Kandal Stueng,Kandal,Cambodia,5849.036,0,0,5395.587,5395.587,5395.587,0,0,0.922474575297536,0.922474575297536,0.922474575297536
80602,806,8,KHM,Barong,Lvea Aem,Kandal,Cambodia,2902.869,0,0,2823.363,2823.363,2823.363,0,0,0.972611233920649,0.972611233920649,0.972611233920649
21405,214,2,KHM,Basak,Rukh Kiri,Battambang,Cambodia,14835.51,0,0,14835.51,14835.51,14835.51,0,0,1,1,1
200502,2005,20,KHM,Basak,Svay Chrum,Svay Rieng,Cambodia,6445.371,0,0,6445.371,6445.371,6445.371,0,0,1,1,1
50101,501,5,KHM,Basedth,Basedth,Kampong Speu,Cambodia,8806.316,0,0,8526.296,8526.296,8526.296,0,0,0.968202367482611,0.968202367482611,0.968202367482611
10202,102,1,KHM,Bat Trang,Mongkol Borei,Banteay Meanchey,Cambodia,6552.112,0,0,6096.648,6096.648,6096.648,0,0,0.930485925759511,0.930485925759511,0.930485925759511
30101,301,3,KHM,Batheay,Batheay,Kampong Cham,Cambodia,14227.414,0,0,14072.121,14072.121,14072.121,0,0,0.989084945444056,0.989084945444056,0.989084945444056
200801,2008,20,KHM,Bati,Bavet,Svay Rieng,Cambodia,7913.65,0,0,7214.054,7214.054,7214.054,0,0,0.911596292481977,0.911596292481977,0.911596292481977
20401,204,2,KHM,Bavel,Bavel,Battambang,Cambodia,23301.277,0,0,22874.473,22874.473,22874.473,0,0,0.981683235644124,0.981683235644124,0.981683235644124
