ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_agri_ESA20_agri,RP5_agri_ESA20_agri_C5,RP5_agri_ESA20_agri_C4,RP5_agri_ESA20_agri_C3,RP5_agri_ESA20_agri_C2,RP5_agri_ESA20_agri_C1,RP5_agri_ESA20_agri_C0,RP5_agri_ESA20_agri_C5_EAE,RP5_agri_ESA20_agri_C4_EAE,RP5_agri_ESA20_agri_C3_EAE,RP5_agri_ESA20_agri_C2_EAE,RP5_agri_ESA20_agri_C1_EAE,RP5_agri_ESA20_agri_C0_EAE,RP10_agri_ESA20_agri_C5,RP10_agri_ESA20_agri_C4,RP10_agri_ESA20_agri_C3,RP10_agri_ESA20_agri_C2,RP10_agri_ESA20_agri_C1,RP10_agri_ESA20_agri_C0,RP10_agri_ESA20_agri_C5_EAE,RP10_agri_ESA20_agri_C4_EAE,RP10_agri_ESA20_agri_C3_EAE,RP10_agri_ESA20_agri_C2_EAE,RP10_agri_ESA20_agri_C1_EAE,RP10_agri_ESA20_agri_C0_EAE,RP20_agri_ESA20_agri_C5,RP20_agri_ESA20_agri_C4,RP20_agri_ESA20_agri_C3,RP20_agri_ESA20_agri_C2,RP20_agri_ESA20_agri_C1,RP20_agri_ESA20_agri_C0,RP20_agri_ESA20_agri_C5_EAE,RP20_agri_ESA20_agri_C4_EAE,RP20_agri_ESA20_agri_C3_EAE,RP20_agri_ESA20_agri_C2_EAE,RP20_agri_ESA20_agri_C1_EAE,RP20_agri_ESA20_agri_C0_EAE,RP50_agri_ESA20_agri_C5,RP50_agri_ESA20_agri_C4,RP50_agri_ESA20_agri_C3,RP50_agri_ESA20_agri_C2,RP50_agri_ESA20_agri_C1,RP50_agri_ESA20_agri_C0,RP50_agri_ESA20_agri_C5_EAE,RP50_agri_ESA20_agri_C4_EAE,RP50_agri_ESA20_agri_C3_EAE,RP50_agri_ESA20_agri_C2_EAE,RP50_agri_ESA20_agri_C1_EAE,RP50_agri_ESA20_agri_C0_EAE,RP75_agri_ESA20_agri_C5,RP75_agri_ESA20_agri_C4,RP75_agri_ESA20_agri_C3,RP75_agri_ESA20_agri_C2,RP75_agri_ESA20_agri_C1,RP75_agri_ESA20_agri_C0,RP75_agri_ESA20_agri_C5_EAE,RP75_agri_ESA20_agri_C4_EAE,RP75_agri_ESA20_agri_C3_EAE,RP75_agri_ESA20_agri_C2_EAE,RP75_agri_ESA20_agri_C1_EAE,RP75_agri_ESA20_agri_C0_EAE,RP100_agri_ESA20_agri_C5,RP100_agri_ESA20_agri_C4,RP100_agri_ESA20_agri_C3,RP100_agri_ESA20_agri_C2,RP100_agri_ESA20_agri_C1,RP100_agri_ESA20_agri_C0,RP100_agri_ESA20_agri_C5_EAE,RP100_agri_ESA20_agri_C4_EAE,RP100_agri_ESA20_agri_C3_EAE,RP100_agri_ESA20_agri_C2_EAE,RP100_agri_ESA20_agri_C1_EAE,RP100_agri_ESA20_agri_C0_EAE,RP200_agri_ESA20_agri_C5,RP200_agri_ESA20_agri_C4,RP200_agri_ESA20_agri_C3,RP200_agri_ESA20_agri_C2,RP200_agri_ESA20_agri_C1,RP200_agri_ESA20_agri_C0,RP200_agri_ESA20_agri_C5_EAE,RP200_agri_ESA20_agri_C4_EAE,RP200_agri_ESA20_agri_C3_EAE,RP200_agri_ESA20_agri_C2_EAE,RP200_agri_ESA20_agri_C1_EAE,RP200_agri_ESA20_agri_C0_EAE,RP250_agri_ESA20_agri_C5,RP250_agri_ESA20_agri_C4,RP250_agri_ESA20_agri_C3,RP250_agri_ESA20_agri_C2,RP250_agri_ESA20_agri_C1,RP250_agri_ESA20_agri_C0,RP250_agri_ESA20_agri_C5_EAE,RP250_agri_ESA20_agri_C4_EAE,RP250_agri_ESA20_agri_C3_EAE,RP250_agri_ESA20_agri_C2_EAE,RP250_agri_ESA20_agri_C1_EAE,RP250_agri_ESA20_agri_C0_EAE,RP500_agri_ESA20_agri_C5,RP500_agri_ESA20_agri_C4,RP500_agri_ESA20_agri_C3,RP500_agri_ESA20_agri_C2,RP500_agri_ESA20_agri_C1,RP500_agri_ESA20_agri_C0,RP500_agri_ESA20_agri_C5_EAE,RP500_agri_ESA20_agri_C4_EAE,RP500_agri_ESA20_agri_C3_EAE,RP500_agri_ESA20_agri_C2_EAE,RP500_agri_ESA20_agri_C1_EAE,RP500_agri_ESA20_agri_C0_EAE,RP1000_agri_ESA20_agri_C5,RP1000_agri_ESA20_agri_C4,RP1000_agri_ESA20_agri_C3,RP1000_agri_ESA20_agri_C2,RP1000_agri_ESA20_agri_C1,RP1000_agri_ESA20_agri_C0,RP1000_agri_ESA20_agri_C5_EAE,RP1000_agri_ESA20_agri_C4_EAE,RP1000_agri_ESA20_agri_C3_EAE,RP1000_agri_ESA20_agri_C2_EAE,RP1000_agri_ESA20_agri_C1_EAE,RP1000_agri_ESA20_agri_C0_EAE,agri_ESA20_agri_C5_EAE,agri_ESA20_agri_C4_EAE,agri_ESA20_agri_C3_EAE,agri_ESA20_agri_C2_EAE,agri_ESA20_agri_C1_EAE,agri_ESA20_agri_C0_EAE,agri_ESA20_agri_C5_EAE%,agri_ESA20_agri_C4_EAE%,agri_ESA20_agri_C3_EAE%,agri_ESA20_agri_C2_EAE%,agri_ESA20_agri_C1_EAE%,agri_ESA20_agri_C0_EAE%
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,646.07,1.85,4.759,10.279,12.519,15.698,15.698,0.37,0.952,2.056,2.504,3.14,3.14,4.709,13.608,18.707,23.976,72.927,72.927,0.471,1.361,1.871,2.398,7.293,7.293,6.578,19.667,30.525,65.876,252.816,252.816,0.329,0.983,1.526,3.294,12.641,12.641,16.607,31.056,51.448,121.529,335.93,335.93,0.498,0.932,1.543,3.646,10.078,10.078,61.325,92.055,114.305,184.29,399.31,399.31,0.409,0.614,0.762,1.229,2.662,2.662,66.705,97.605,129.147,199.172,413.948,413.948,0.222,0.325,0.43,0.664,1.38,1.38,84.096,126.669,167.111,255.76,452.326,452.326,0.42,0.633,0.836,1.279,2.262,2.262,91.495,136.24,195.71,279.079,473.916,473.916,0.091,0.136,0.196,0.279,0.474,0.474,154.636,235.56,280.716,370.027,526.808,526.808,0.309,0.471,0.561,0.74,1.054,1.054,191.59,281.746,344.437,415.604,540.967,540.967,0.192,0.282,0.344,0.416,0.541,0.541,3.312,6.689,10.126,16.447,41.523,41.523,0.513,1.035,1.567,2.546,6.427,6.427
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,457.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.18,64.439,276.318,369.986,379.964,379.964,0.309,3.222,13.816,18.499,18.998,18.998,7.18,121.718,366.677,381.964,386.223,386.223,0.215,3.652,11.0,11.459,11.587,11.587,7.18,176.358,377.025,382.964,389.102,389.102,0.048,1.176,2.514,2.553,2.594,2.594,7.67,211.248,378.505,386.223,389.112,389.112,0.026,0.704,1.262,1.287,1.297,1.297,7.88,354.798,384.354,389.092,390.851,390.851,0.039,1.774,1.922,1.945,1.954,1.954,7.88,365.648,385.894,390.072,392.231,392.231,0.008,0.366,0.386,0.39,0.392,0.392,18.43,378.505,387.902,392.081,394.529,394.529,0.037,0.757,0.776,0.784,0.789,0.789,35.76,382.364,391.851,393.529,394.939,394.939,0.036,0.382,0.392,0.394,0.395,0.395,0.718,12.032,32.067,37.312,38.006,38.006,0.157,2.629,7.006,8.152,8.303,8.303
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,75.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,6874.351,0.0,8.81,64.82,250.57,1563.172,1563.172,0.0,1.762,12.964,50.114,312.634,312.634,0.0,19.47,118.54,587.491,2102.864,2102.864,0.0,1.947,11.854,58.749,210.286,210.286,0.0,24.9,199.879,971.632,2476.898,2476.898,0.0,1.245,9.994,48.582,123.845,123.845,0.0,45.64,364.491,1514.726,3075.23,3075.23,0.0,1.369,10.935,45.442,92.257,92.257,0.0,58.05,482.81,1746.678,3325.168,3325.168,0.0,0.387,3.219,11.645,22.168,22.168,0.0,66.52,588.862,1885.988,3479.649,3479.649,0.0,0.222,1.963,6.287,11.599,11.599,2.87,100.0,871.155,2224.977,3892.946,3892.946,0.014,0.5,4.356,11.125,19.465,19.465,3.84,117.109,981.675,2331.659,4017.167,4017.167,0.004,0.117,0.982,2.332,4.017,4.017,7.38,219.029,1420.97,2765.32,4375.673,4375.673,0.015,0.438,2.842,5.531,8.751,8.751,15.01,346.35,1843.897,3293.924,4716.228,4716.228,0.015,0.346,1.844,3.294,4.716,4.716,0.048,8.333,60.951,243.099,809.739,809.739,0.001,0.121,0.887,3.536,11.779,11.779
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,349.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,4.899,18.639,23.629,23.629,0.0,0.026,0.245,0.932,1.181,1.181,0.53,27.369,36.94,40.84,42.431,42.431,0.016,0.821,1.108,1.225,1.273,1.273,1.77,34.209,43.21,52.011,63.291,63.291,0.012,0.228,0.288,0.347,0.422,0.422,4.189,37.57,61.752,75.0,87.571,87.571,0.014,0.125,0.206,0.25,0.292,0.292,23.379,46.921,77.49,94.921,107.99,107.99,0.117,0.235,0.387,0.475,0.54,0.54,27.229,49.241,82.23,100.42,114.249,114.249,0.027,0.049,0.082,0.1,0.114,0.114,33.469,57.34,98.68,129.099,152.917,152.917,0.067,0.115,0.197,0.258,0.306,0.306,38.669,126.89,184.64,204.537,215.626,215.626,0.039,0.127,0.185,0.205,0.216,0.216,0.291,1.726,2.699,3.792,4.344,4.344,0.083,0.494,0.773,1.086,1.244,1.244
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,20615.807,0.0,38.301,119.492,209.863,348.305,348.305,0.0,7.66,23.898,41.973,69.661,69.661,4.17,59.141,181.192,292.434,481.538,481.538,0.417,5.914,18.119,29.243,48.154,48.154,6.33,73.682,228.425,379.216,560.871,560.871,0.316,3.684,11.421,18.961,28.044,28.044,11.57,113.52,301.286,475.181,686.514,686.514,0.347,3.406,9.039,14.255,20.595,20.595,14.36,127.373,341.948,509.222,753.825,753.825,0.096,0.849,2.28,3.395,5.025,5.025,15.36,142.702,359.877,532.622,789.595,789.595,0.051,0.476,1.2,1.775,2.632,2.632,24.111,179.924,428.469,631.032,895.176,895.176,0.121,0.9,2.142,3.155,4.476,4.476,26.541,188.573,448.529,662.43,923.303,923.303,0.027,0.189,0.449,0.662,0.923,0.923,42.212,244.535,531.333,768.983,1033.054,1033.054,0.084,0.489,1.063,1.538,2.066,2.066,60.811,303.356,625.341,868.813,1127.981,1127.981,0.061,0.303,0.625,0.869,1.128,1.128,1.52,23.87,70.236,115.827,182.705,182.705,0.007,0.116,0.341,0.562,0.886,0.886
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,2100.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.355,88.676,102.206,110.806,114.246,114.246,5.435,8.868,10.221,11.081,11.425,11.425,110.806,124.785,128.736,129.246,132.096,132.096,5.54,6.239,6.437,6.462,6.605,6.605,124.785,132.096,135.316,137.216,141.016,141.016,3.744,3.963,4.059,4.116,4.23,4.23,127.655,134.586,137.216,141.016,142.347,142.347,0.851,0.897,0.915,0.94,0.949,0.949,128.736,135.316,141.016,141.016,142.347,142.347,0.429,0.451,0.47,0.47,0.474,0.474,129.246,137.216,142.347,144.347,145.128,145.128,0.646,0.686,0.712,0.722,0.726,0.726,131.236,138.216,142.347,144.347,145.287,145.287,0.131,0.138,0.142,0.144,0.145,0.145,134.086,141.016,144.347,145.287,145.287,145.287,0.268,0.282,0.289,0.291,0.291,0.291,134.586,142.347,145.287,145.287,145.508,145.508,0.135,0.142,0.145,0.145,0.146,0.146,17.18,21.667,23.39,24.371,24.99,24.99,0.818,1.031,1.113,1.16,1.19,1.19
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,4429.484,0.0,0.0,0.0,37.572,457.444,457.444,0.0,0.0,0.0,7.514,91.489,91.489,0.0,0.0,2.0,82.342,700.844,700.844,0.0,0.0,0.2,8.234,70.084,70.084,0.0,0.0,6.0,196.301,870.635,870.635,0.0,0.0,0.3,9.815,43.532,43.532,0.0,0.0,14.111,373.449,1145.873,1145.873,0.0,0.0,0.423,11.203,34.376,34.376,0.0,0.0,22.15,448.81,1327.834,1327.834,0.0,0.0,0.148,2.992,8.852,8.852,0.0,0.0,31.2,513.823,1492.067,1492.067,0.0,0.0,0.104,1.713,4.974,4.974,0.0,0.0,60.231,703.541,1964.857,1964.857,0.0,0.0,0.301,3.518,9.824,9.824,0.0,0.0,80.251,752.082,2097.334,2097.334,0.0,0.0,0.08,0.752,2.097,2.097,0.0,0.0,156.642,919.564,2436.039,2436.039,0.0,0.0,0.313,1.839,4.872,4.872,0.0,0.0,234.521,1108.624,2692.837,2692.837,0.0,0.0,0.235,1.109,2.693,2.693,0.0,0.0,2.104,48.689,272.793,272.793,0.0,0.0,0.048,1.099,6.159,6.159
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,4065.797,0.68,48.308,158.19,222.677,272.719,272.719,0.136,9.662,31.638,44.535,54.544,54.544,14.889,159.66,323.221,407.607,464.387,464.387,1.489,15.966,32.322,40.761,46.439,46.439,32.938,290.401,445.098,514.479,571.759,571.759,1.647,14.52,22.255,25.724,28.588,28.588,83.588,417.598,561.94,637.34,691.739,691.739,2.508,12.528,16.858,19.12,20.752,20.752,125.389,466.048,611.939,686.509,752.239,752.239,0.836,3.107,4.08,4.577,5.015,5.015,171.938,498.859,647.879,727.988,786.868,786.868,0.573,1.663,2.16,2.427,2.623,2.623,276.538,578.93,738.938,800.276,851.425,851.425,1.383,2.895,3.695,4.001,4.257,4.257,302.729,615.249,763.518,819.567,874.591,874.591,0.303,0.615,0.764,0.82,0.875,0.875,387.752,689.678,825.766,892.042,940.062,940.062,0.776,1.379,1.652,1.784,1.88,1.88,458.899,765.607,892.832,954.182,1013.802,1013.802,0.459,0.766,0.893,0.954,1.014,1.014,10.108,63.1,116.315,144.703,165.986,165.986,0.249,1.552,2.861,3.559,4.082,4.082
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,35721.801,0.0,1.0,15.23,140.269,1191.275,1191.275,0.0,0.2,3.046,28.054,238.255,238.255,0.0,1.0,34.09,270.252,1840.725,1840.725,0.0,0.1,3.409,27.025,184.072,184.072,0.0,2.0,67.971,461.523,2561.506,2561.506,0.0,0.1,3.399,23.076,128.075,128.075,0.0,4.0,113.831,771.555,3437.026,3437.026,0.0,0.12,3.415,23.147,103.111,103.111,0.0,4.0,142.952,893.863,3770.916,3770.916,0.0,0.027,0.953,5.959,25.139,25.139,0.0,4.0,159.982,998.944,3992.778,3992.778,0.0,0.013,0.533,3.33,13.309,13.309,0.0,6.82,209.14,1272.266,4511.357,4511.357,0.0,0.034,1.046,6.361,22.557,22.557,0.0,6.82,240.871,1375.416,4690.586,4690.586,0.0,0.007,0.241,1.375,4.691,4.691,0.0,9.1,310.702,1694.536,5284.226,5284.226,0.0,0.018,0.621,3.389,10.568,10.568,0.0,13.74,401.154,2041.925,5889.486,5889.486,0.0,0.014,0.401,2.042,5.889,5.889,0.0,0.633,17.064,123.758,735.668,735.668,0.0,0.002,0.048,0.346,2.059,2.059
