ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_builtup_WSF19,RP5_builtup_WSF19_C5,RP5_builtup_WSF19_C4,RP5_builtup_WSF19_C3,RP5_builtup_WSF19_C2,RP5_builtup_WSF19_C1,RP5_builtup_WSF19_C0,RP5_builtup_WSF19_C5_EAE,RP5_builtup_WSF19_C4_EAE,RP5_builtup_WSF19_C3_EAE,RP5_builtup_WSF19_C2_EAE,RP5_builtup_WSF19_C1_EAE,RP5_builtup_WSF19_C0_EAE,RP10_builtup_WSF19_C5,RP10_builtup_WSF19_C4,RP10_builtup_WSF19_C3,RP10_builtup_WSF19_C2,RP10_builtup_WSF19_C1,RP10_builtup_WSF19_C0,RP10_builtup_WSF19_C5_EAE,RP10_builtup_WSF19_C4_EAE,RP10_builtup_WSF19_C3_EAE,RP10_builtup_WSF19_C2_EAE,RP10_builtup_WSF19_C1_EAE,RP10_builtup_WSF19_C0_EAE,RP20_builtup_WSF19_C5,RP20_builtup_WSF19_C4,RP20_builtup_WSF19_C3,RP20_builtup_WSF19_C2,RP20_builtup_WSF19_C1,RP20_builtup_WSF19_C0,RP20_builtup_WSF19_C5_EAE,RP20_builtup_WSF19_C4_EAE,RP20_builtup_WSF19_C3_EAE,RP20_builtup_WSF19_C2_EAE,RP20_builtup_WSF19_C1_EAE,RP20_builtup_WSF19_C0_EAE,RP50_builtup_WSF19_C5,RP50_builtup_WSF19_C4,RP50_builtup_WSF19_C3,RP50_builtup_WSF19_C2,RP50_builtup_WSF19_C1,RP50_builtup_WSF19_C0,RP50_builtup_WSF19_C5_EAE,RP50_builtup_WSF19_C4_EAE,RP50_builtup_WSF19_C3_EAE,RP50_builtup_WSF19_C2_EAE,RP50_builtup_WSF19_C1_EAE,RP50_builtup_WSF19_C0_EAE,RP75_builtup_WSF19_C5,RP75_builtup_WSF19_C4,RP75_builtup_WSF19_C3,RP75_builtup_WSF19_C2,RP75_builtup_WSF19_C1,RP75_builtup_WSF19_C0,RP75_builtup_WSF19_C5_EAE,RP75_builtup_WSF19_C4_EAE,RP75_builtup_WSF19_C3_EAE,RP75_builtup_WSF19_C2_EAE,RP75_builtup_WSF19_C1_EAE,RP75_builtup_WSF19_C0_EAE,RP100_builtup_WSF19_C5,RP100_builtup_WSF19_C4,RP100_builtup_WSF19_C3,RP100_builtup_WSF19_C2,RP100_builtup_WSF19_C1,RP100_builtup_WSF19_C0,RP100_builtup_WSF19_C5_EAE,RP100_builtup_WSF19_C4_EAE,RP100_builtup_WSF19_C3_EAE,RP100_builtup_WSF19_C2_EAE,RP100_builtup_WSF19_C1_EAE,RP100_builtup_WSF19_C0_EAE,RP200_builtup_WSF19_C5,RP200_builtup_WSF19_C4,RP200_builtup_WSF19_C3,RP200_builtup_WSF19_C2,RP200_builtup_WSF19_C1,RP200_builtup_WSF19_C0,RP200_builtup_WSF19_C5_EAE,RP200_builtup_WSF19_C4_EAE,RP200_builtup_WSF19_C3_EAE,RP200_builtup_WSF19_C2_EAE,RP200_builtup_WSF19_C1_EAE,RP200_builtup_WSF19_C0_EAE,RP250_builtup_WSF19_C5,RP250_builtup_WSF19_C4,RP250_builtup_WSF19_C3,RP250_builtup_WSF19_C2,RP250_builtup_WSF19_C1,RP250_builtup_WSF19_C0,RP250_builtup_WSF19_C5_EAE,RP250_builtup_WSF19_C4_EAE,RP250_builtup_WSF19_C3_EAE,RP250_builtup_WSF19_C2_EAE,RP250_builtup_WSF19_C1_EAE,RP250_builtup_WSF19_C0_EAE,RP500_builtup_WSF19_C5,RP500_builtup_WSF19_C4,RP500_builtup_WSF19_C3,RP500_builtup_WSF19_C2,RP500_builtup_WSF19_C1,RP500_builtup_WSF19_C0,RP500_builtup_WSF19_C5_EAE,RP500_builtup_WSF19_C4_EAE,RP500_builtup_WSF19_C3_EAE,RP500_builtup_WSF19_C2_EAE,RP500_builtup_WSF19_C1_EAE,RP500_builtup_WSF19_C0_EAE,RP1000_builtup_WSF19_C5,RP1000_builtup_WSF19_C4,RP1000_builtup_WSF19_C3,RP1000_builtup_WSF19_C2,RP1000_builtup_WSF19_C1,RP1000_builtup_WSF19_C0,RP1000_builtup_WSF19_C5_EAE,RP1000_builtup_WSF19_C4_EAE,RP1000_builtup_WSF19_C3_EAE,RP1000_builtup_WSF19_C2_EAE,RP1000_builtup_WSF19_C1_EAE,RP1000_builtup_WSF19_C0_EAE,builtup_WSF19_C5_EAE,builtup_WSF19_C4_EAE,builtup_WSF19_C3_EAE,builtup_WSF19_C2_EAE,builtup_WSF19_C1_EAE,builtup_WSF19_C0_EAE,builtup_WSF19_C5_EAE%,builtup_WSF19_C4_EAE%,builtup_WSF19_C3_EAE%,builtup_WSF19_C2_EAE%,builtup_WSF19_C1_EAE%,builtup_WSF19_C0_EAE%
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,4.32,0.08,0.252,0.268,0.272,0.585,0.585,0.016,0.05,0.054,0.054,0.117,0.117,0.252,0.541,0.793,0.963,1.821,1.821,0.025,0.054,0.079,0.096,0.182,0.182,0.481,1.24,1.788,2.438,3.32,3.32,0.024,0.062,0.089,0.122,0.166,0.166,1.228,2.706,3.047,3.217,3.896,3.896,0.037,0.081,0.091,0.097,0.117,0.117,1.511,2.827,3.217,3.663,3.95,3.95,0.01,0.019,0.021,0.024,0.026,0.026,1.782,3.21,3.616,3.677,4.035,4.035,0.006,0.011,0.012,0.012,0.013,0.013,2.786,3.622,3.706,3.957,4.286,4.286,0.014,0.018,0.019,0.02,0.021,0.021,2.827,3.622,3.91,4.208,4.292,4.292,0.003,0.004,0.004,0.004,0.004,0.004,3.217,3.91,4.167,4.3,4.304,4.304,0.006,0.008,0.008,0.009,0.009,0.009,3.622,4.179,4.3,4.304,4.304,4.304,0.004,0.004,0.004,0.004,0.004,0.004,0.145,0.311,0.382,0.443,0.66,0.66,3.357,7.199,8.849,10.248,15.286,15.286
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,102.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.102,1.004,1.287,1.374,1.374,0.002,0.005,0.05,0.064,0.069,0.069,0.045,0.439,1.287,1.374,2.276,2.276,0.001,0.013,0.039,0.041,0.068,0.068,0.045,0.439,1.287,1.374,2.482,2.482,0.0,0.003,0.009,0.009,0.017,0.017,0.045,0.439,1.287,1.659,2.609,2.609,0.0,0.001,0.004,0.006,0.009,0.009,0.045,0.439,1.374,2.472,3.041,3.041,0.0,0.002,0.007,0.012,0.015,0.015,0.045,0.461,1.441,2.609,3.172,3.172,0.0,0.0,0.001,0.003,0.003,0.003,0.045,1.287,1.694,3.146,3.924,3.924,0.0,0.003,0.003,0.006,0.008,0.008,0.102,1.298,3.041,3.417,5.024,5.024,0.0,0.001,0.003,0.003,0.005,0.005,0.005,0.029,0.116,0.145,0.193,0.193,0.004,0.028,0.113,0.141,0.188,0.188
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,7.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,80.718,0.0,0.0,0.132,0.546,3.676,3.676,0.0,0.0,0.026,0.109,0.735,0.735,0.0,0.0,0.269,2.091,5.335,5.335,0.0,0.0,0.027,0.209,0.534,0.534,0.0,0.0,0.334,2.804,8.162,8.162,0.0,0.0,0.017,0.14,0.408,0.408,0.0,0.0,0.673,5.291,12.204,12.204,0.0,0.0,0.02,0.159,0.366,0.366,0.0,0.117,0.798,6.106,12.87,12.87,0.0,0.001,0.005,0.041,0.086,0.086,0.0,0.117,0.824,6.579,13.649,13.649,0.0,0.0,0.003,0.022,0.045,0.045,0.0,0.152,2.056,8.534,16.078,16.078,0.0,0.001,0.01,0.043,0.08,0.08,0.0,0.175,2.322,9.077,16.946,16.946,0.0,0.0,0.002,0.009,0.017,0.017,0.0,0.328,5.296,11.954,20.476,20.476,0.0,0.001,0.011,0.024,0.041,0.041,0.0,0.47,7.406,15.204,24.325,24.325,0.0,0.0,0.007,0.015,0.024,0.024,0.0,0.003,0.129,0.771,2.337,2.337,0.0,0.004,0.16,0.955,2.895,2.895
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,82.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.011,0.011,0.011,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.752,1.722,2.528,3.649,3.649,0.0,0.023,0.052,0.076,0.109,0.109,0.001,0.978,2.528,5.125,6.723,6.723,0.0,0.007,0.017,0.034,0.045,0.045,0.001,1.722,5.125,6.723,7.258,7.258,0.0,0.006,0.017,0.022,0.024,0.024,0.389,3.649,7.258,8.33,9.367,9.367,0.002,0.018,0.036,0.042,0.047,0.047,0.752,5.125,7.258,8.817,10.771,10.771,0.001,0.005,0.007,0.009,0.011,0.011,1.127,6.723,9.367,12.614,15.3,15.3,0.002,0.013,0.019,0.025,0.031,0.031,1.722,7.598,12.678,15.917,21.131,21.131,0.002,0.008,0.013,0.016,0.021,0.021,0.007,0.079,0.161,0.225,0.288,0.288,0.008,0.096,0.194,0.272,0.349,0.349
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,60.174,0.0,0.0,0.707,1.977,4.147,4.147,0.0,0.0,0.141,0.395,0.829,0.829,0.0,0.008,1.271,3.372,5.915,5.915,0.0,0.001,0.127,0.337,0.592,0.592,0.0,0.017,1.819,3.608,6.704,6.704,0.0,0.001,0.091,0.18,0.335,0.335,0.0,0.154,2.79,5.171,8.734,8.734,0.0,0.005,0.084,0.155,0.262,0.262,0.0,0.236,3.362,5.256,8.781,8.781,0.0,0.002,0.022,0.035,0.059,0.059,0.0,0.428,3.551,5.529,8.935,8.935,0.0,0.001,0.012,0.018,0.03,0.03,0.0,1.039,4.042,6.781,9.834,9.834,0.0,0.005,0.02,0.034,0.049,0.049,0.0,1.196,4.566,6.939,10.111,10.111,0.0,0.001,0.005,0.007,0.01,0.01,0.0,1.711,5.402,7.887,12.561,12.561,0.0,0.003,0.011,0.016,0.025,0.025,0.0,2.306,7.491,10.405,15.317,15.317,0.0,0.002,0.007,0.01,0.015,0.015,0.0,0.021,0.52,1.189,2.206,2.206,0.0,0.036,0.865,1.975,3.666,3.666
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,233.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,79.036,0.0,0.0,0.0,1.011,2.507,2.507,0.0,0.0,0.0,0.202,0.501,0.501,0.0,0.0,0.0,1.153,3.597,3.597,0.0,0.0,0.0,0.115,0.36,0.36,0.0,0.0,0.0,1.46,4.733,4.733,0.0,0.0,0.0,0.073,0.237,0.237,0.0,0.0,0.349,2.63,5.711,5.711,0.0,0.0,0.01,0.079,0.171,0.171,0.0,0.0,0.349,3.026,6.201,6.201,0.0,0.0,0.002,0.02,0.041,0.041,0.0,0.0,0.349,3.303,7.385,7.385,0.0,0.0,0.001,0.011,0.025,0.025,0.0,0.0,1.055,3.832,11.641,11.641,0.0,0.0,0.005,0.019,0.058,0.058,0.0,0.0,1.1,3.972,12.911,12.911,0.0,0.0,0.001,0.004,0.013,0.013,0.0,0.0,1.341,4.209,17.146,17.146,0.0,0.0,0.003,0.008,0.034,0.034,0.0,0.0,2.06,4.676,23.489,23.489,0.0,0.0,0.002,0.005,0.023,0.023,0.0,0.0,0.025,0.537,1.464,1.464,0.0,0.0,0.032,0.679,1.852,1.852
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,25.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.015,0.015,0.015,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.266,0.287,0.561,0.561,0.0,0.0,0.008,0.009,0.017,0.017,0.0,0.255,0.287,0.561,0.561,0.561,0.0,0.002,0.002,0.004,0.004,0.004,0.0,0.266,0.287,0.561,0.64,0.64,0.0,0.001,0.001,0.002,0.002,0.002,0.0,0.287,0.561,0.769,0.964,0.964,0.0,0.001,0.003,0.004,0.005,0.005,0.0,0.287,0.596,0.794,1.081,1.081,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.561,0.794,1.081,1.119,1.119,0.0,0.001,0.002,0.002,0.002,0.002,0.255,0.626,1.081,1.119,1.154,1.154,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.006,0.017,0.023,0.033,0.033,0.001,0.024,0.068,0.091,0.131,0.131
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,138.75,0.0,0.0,0.294,0.855,15.726,15.726,0.0,0.0,0.059,0.171,3.145,3.145,0.0,0.0,0.54,2.371,24.758,24.758,0.0,0.0,0.054,0.237,2.476,2.476,0.0,0.0,0.701,6.659,28.15,28.15,0.0,0.0,0.035,0.333,1.407,1.407,0.0,0.0,0.855,13.985,30.824,30.824,0.0,0.0,0.026,0.42,0.925,0.925,0.0,0.0,1.553,16.255,33.097,33.097,0.0,0.0,0.01,0.108,0.221,0.221,0.0,0.0,1.582,18.882,34.269,34.269,0.0,0.0,0.005,0.063,0.114,0.114,0.0,0.012,3.176,22.256,35.491,35.491,0.0,0.0,0.016,0.111,0.177,0.177,0.0,0.012,3.741,23.252,36.107,36.107,0.0,0.0,0.004,0.023,0.036,0.036,0.0,0.012,7.553,26.161,37.631,37.631,0.0,0.0,0.015,0.052,0.075,0.075,0.0,0.096,9.912,26.482,39.339,39.339,0.0,0.0,0.01,0.026,0.039,0.039,0.0,0.0,0.234,1.545,8.616,8.616,0.0,0.0,0.168,1.114,6.21,6.21
