ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_builtup_WSF19,RP5_builtup_WSF19_exp,RP10_builtup_WSF19_exp,RP20_builtup_WSF19_exp,RP50_builtup_WSF19_exp,RP75_builtup_WSF19_exp,RP100_builtup_WSF19_exp,RP200_builtup_WSF19_exp,RP250_builtup_WSF19_exp,RP500_builtup_WSF19_exp,RP1000_builtup_WSF19_exp,RP5_builtup_WSF19_imp,RP10_builtup_WSF19_imp,RP20_builtup_WSF19_imp,RP50_builtup_WSF19_imp,RP75_builtup_WSF19_imp,RP100_builtup_WSF19_imp,RP200_builtup_WSF19_imp,RP250_builtup_WSF19_imp,RP500_builtup_WSF19_imp,RP1000_builtup_WSF19_imp,RP5_EAI,RP10_EAI,RP20_EAI,RP50_EAI,RP75_EAI,RP100_EAI,RP200_EAI,RP250_EAI,RP500_EAI,RP1000_EAI,builtup_WSF19_EAI,builtup_WSF19_EAI%
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,4.32,0.585,1.821,3.32,3.896,3.95,4.035,4.286,4.292,4.304,4.304,0.182,0.514,1.121,1.914,2.22,2.412,2.821,2.943,3.242,3.455,0.036,0.051,0.056,0.057,0.015,0.008,0.014,0.003,0.006,0.003,0.251,5.815
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,102.929,0.0,0.0,1.374,2.276,2.482,2.609,3.041,3.172,3.924,5.024,0.0,0.0,0.413,0.53,0.598,0.65,0.805,0.864,1.08,1.349,0.0,0.0,0.021,0.016,0.004,0.002,0.004,0.001,0.002,0.001,0.051,0.05
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,7.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,80.718,3.676,5.335,8.162,12.204,12.87,13.649,16.078,16.946,20.476,24.325,0.352,0.541,0.837,1.352,1.578,1.746,2.198,2.367,3.161,4.178,0.07,0.054,0.042,0.041,0.011,0.006,0.011,0.002,0.006,0.004,0.247,0.306
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,82.674,0.0,0.0,0.011,3.649,6.723,7.258,9.367,10.771,15.3,21.131,0.0,0.0,0.002,0.828,1.592,2.123,3.343,3.808,5.378,7.267,0.0,0.0,0.0,0.025,0.011,0.007,0.017,0.004,0.011,0.007,0.081,0.098
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,60.174,4.147,5.915,6.704,8.734,8.781,8.935,9.834,10.111,12.561,15.317,0.567,0.855,1.109,1.486,1.636,1.743,2.102,2.212,2.737,3.652,0.113,0.086,0.055,0.045,0.011,0.006,0.011,0.002,0.005,0.004,0.337,0.561
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,233.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,79.036,2.507,3.597,4.733,5.711,6.201,7.385,11.641,12.911,17.146,23.489,0.213,0.35,0.489,0.661,0.741,0.825,1.133,1.238,1.575,2.02,0.043,0.035,0.024,0.02,0.005,0.003,0.006,0.001,0.003,0.002,0.142,0.179
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,25.165,0.0,0.003,0.015,0.561,0.561,0.64,0.964,1.081,1.119,1.154,0.0,0.0,0.002,0.119,0.164,0.196,0.297,0.335,0.439,0.53,0.0,0.0,0.0,0.004,0.001,0.001,0.001,0.0,0.001,0.001,0.009,0.035
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,138.75,15.726,24.758,28.15,30.824,33.097,34.269,35.491,36.107,37.631,39.339,1.0,1.961,2.739,3.647,4.08,4.403,5.111,5.345,6.031,6.669,0.2,0.196,0.137,0.109,0.027,0.015,0.026,0.005,0.012,0.007,0.734,0.529
