ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,RP5_pop_WPOP20_C5,RP5_pop_WPOP20_C4,RP5_pop_WPOP20_C3,RP5_pop_WPOP20_C2,RP5_pop_WPOP20_C1,RP5_pop_WPOP20_C0,RP5_pop_WPOP20_C5_EAE,RP5_pop_WPOP20_C4_EAE,RP5_pop_WPOP20_C3_EAE,RP5_pop_WPOP20_C2_EAE,RP5_pop_WPOP20_C1_EAE,RP5_pop_WPOP20_C0_EAE,RP10_pop_WPOP20_C5,RP10_pop_WPOP20_C4,RP10_pop_WPOP20_C3,RP10_pop_WPOP20_C2,RP10_pop_WPOP20_C1,RP10_pop_WPOP20_C0,RP10_pop_WPOP20_C5_EAE,RP10_pop_WPOP20_C4_EAE,RP10_pop_WPOP20_C3_EAE,RP10_pop_WPOP20_C2_EAE,RP10_pop_WPOP20_C1_EAE,RP10_pop_WPOP20_C0_EAE,RP20_pop_WPOP20_C5,RP20_pop_WPOP20_C4,RP20_pop_WPOP20_C3,RP20_pop_WPOP20_C2,RP20_pop_WPOP20_C1,RP20_pop_WPOP20_C0,RP20_pop_WPOP20_C5_EAE,RP20_pop_WPOP20_C4_EAE,RP20_pop_WPOP20_C3_EAE,RP20_pop_WPOP20_C2_EAE,RP20_pop_WPOP20_C1_EAE,RP20_pop_WPOP20_C0_EAE,RP50_pop_WPOP20_C5,RP50_pop_WPOP20_C4,RP50_pop_WPOP20_C3,RP50_pop_WPOP20_C2,RP50_pop_WPOP20_C1,RP50_pop_WPOP20_C0,RP50_pop_WPOP20_C5_EAE,RP50_pop_WPOP20_C4_EAE,RP50_pop_WPOP20_C3_EAE,RP50_pop_WPOP20_C2_EAE,RP50_pop_WPOP20_C1_EAE,RP50_pop_WPOP20_C0_EAE,RP75_pop_WPOP20_C5,RP75_pop_WPOP20_C4,RP75_pop_WPOP20_C3,RP75_pop_WPOP20_C2,RP75_pop_WPOP20_C1,RP75_pop_WPOP20_C0,RP75_pop_WPOP20_C5_EAE,RP75_pop_WPOP20_C4_EAE,RP75_pop_WPOP20_C3_EAE,RP75_pop_WPOP20_C2_EAE,RP75_pop_WPOP20_C1_EAE,RP75_pop_WPOP20_C0_EAE,RP100_pop_WPOP20_C5,RP100_pop_WPOP20_C4,RP100_pop_WPOP20_C3,RP100_pop_WPOP20_C2,RP100_pop_WPOP20_C1,RP100_pop_WPOP20_C0,RP100_pop_WPOP20_C5_EAE,RP100_pop_WPOP20_C4_EAE,RP100_pop_WPOP20_C3_EAE,RP100_pop_WPOP20_C2_EAE,RP100_pop_WPOP20_C1_EAE,RP100_pop_WPOP20_C0_EAE,RP200_pop_WPOP20_C5,RP200_pop_WPOP20_C4,RP200_pop_WPOP20_C3,RP200_pop_WPOP20_C2,RP200_pop_WPOP20_C1,RP200_pop_WPOP20_C0,RP200_pop_WPOP20_C5_EAE,RP200_pop_WPOP20_C4_EAE,RP200_pop_WPOP20_C3_EAE,RP200_pop_WPOP20_C2_EAE,RP200_pop_WPOP20_C1_EAE,RP200_pop_WPOP20_C0_EAE,RP250_pop_WPOP20_C5,RP250_pop_WPOP20_C4,RP250_pop_WPOP20_C3,RP250_pop_WPOP20_C2,RP250_pop_WPOP20_C1,RP250_pop_WPOP20_C0,RP250_pop_WPOP20_C5_EAE,RP250_pop_WPOP20_C4_EAE,RP250_pop_WPOP20_C3_EAE,RP250_pop_WPOP20_C2_EAE,RP250_pop_WPOP20_C1_EAE,RP250_pop_WPOP20_C0_EAE,RP500_pop_WPOP20_C5,RP500_pop_WPOP20_C4,RP500_pop_WPOP20_C3,RP500_pop_WPOP20_C2,RP500_pop_WPOP20_C1,RP500_pop_WPOP20_C0,RP500_pop_WPOP20_C5_EAE,RP500_pop_WPOP20_C4_EAE,RP500_pop_WPOP20_C3_EAE,RP500_pop_WPOP20_C2_EAE,RP500_pop_WPOP20_C1_EAE,RP500_pop_WPOP20_C0_EAE,RP1000_pop_WPOP20_C5,RP1000_pop_WPOP20_C4,RP1000_pop_WPOP20_C3,RP1000_pop_WPOP20_C2,RP1000_pop_WPOP20_C1,RP1000_pop_WPOP20_C0,RP1000_pop_WPOP20_C5_EAE,RP1000_pop_WPOP20_C4_EAE,RP1000_pop_WPOP20_C3_EAE,RP1000_pop_WPOP20_C2_EAE,RP1000_pop_WPOP20_C1_EAE,RP1000_pop_WPOP20_C0_EAE,pop_WPOP20_C5_EAE,pop_WPOP20_C4_EAE,pop_WPOP20_C3_EAE,pop_WPOP20_C2_EAE,pop_WPOP20_C1_EAE,pop_WPOP20_C0_EAE,pop_WPOP20_C5_EAE%,pop_WPOP20_C4_EAE%,pop_WPOP20_C3_EAE%,pop_WPOP20_C2_EAE%,pop_WPOP20_C1_EAE%,pop_WPOP20_C0_EAE%
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,8230.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.651,770.433,1008.878,1071.063,1071.063,0.0,6.983,38.522,50.444,53.553,53.553,0.0,218.077,1008.878,1071.063,1248.685,1248.685,0.0,6.542,30.266,32.132,37.461,37.461,0.0,277.198,1008.878,1071.063,1356.062,1356.062,0.0,1.848,6.726,7.14,9.04,9.04,0.0,277.198,1008.878,1169.234,1399.749,1399.749,0.0,0.924,3.363,3.897,4.666,4.666,0.0,894.286,1071.063,1313.659,1462.821,1462.821,0.0,4.471,5.355,6.568,7.314,7.314,0.0,894.286,1128.035,1399.749,1527.684,1527.684,0.0,0.894,1.128,1.4,1.528,1.528,0.0,1008.878,1234.209,1527.684,1615.595,1615.595,0.0,2.018,2.468,3.055,3.231,3.231,48.755,1071.063,1462.821,1527.684,1846.227,1846.227,0.049,1.071,1.463,1.528,1.846,1.846,0.049,24.751,89.291,106.165,118.639,118.639,0.001,0.301,1.085,1.29,1.442,1.442
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,3889.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,8769.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.332,4.332,0.0,0.0,0.0,0.0,0.433,0.433,0.0,0.0,0.0,0.0,749.319,749.319,0.0,0.0,0.0,0.0,37.466,37.466,0.0,0.0,0.0,275.296,1027.976,1027.976,0.0,0.0,0.0,8.259,30.839,30.839,0.0,0.0,0.0,278.41,1027.976,1027.976,0.0,0.0,0.0,1.856,6.853,6.853,0.0,0.0,0.0,281.592,1027.976,1027.976,0.0,0.0,0.0,0.939,3.427,3.427,0.0,0.0,0.0,743.813,1036.269,1036.269,0.0,0.0,0.0,3.719,5.181,5.181,0.0,0.0,0.0,745.98,1043.486,1043.486,0.0,0.0,0.0,0.746,1.043,1.043,0.0,0.0,730.078,759.027,1166.651,1166.651,0.0,0.0,1.46,1.518,2.333,2.333,0.0,0.0,738.623,767.32,1365.721,1365.721,0.0,0.0,0.739,0.767,1.366,1.366,0.0,0.0,2.199,17.804,88.942,88.942,0.0,0.0,0.025,0.203,1.014,1.014
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,9087.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.628,45.233,66.76,66.76,0.0,0.0,1.131,2.262,3.338,3.338,0.0,143.676,273.084,332.975,513.587,513.587,0.0,4.31,8.193,9.989,15.408,15.408,42.72,210.881,363.33,617.899,878.481,878.481,0.285,1.406,2.422,4.119,5.857,5.857,42.72,273.084,617.899,855.522,1028.034,1028.034,0.142,0.91,2.06,2.852,3.427,3.427,104.461,490.501,963.703,1162.049,1383.475,1383.475,0.522,2.453,4.819,5.81,6.917,6.917,122.13,594.491,1072.802,1314.77,1495.269,1495.269,0.122,0.594,1.073,1.315,1.495,1.495,228.134,878.481,1339.433,1602.471,1774.788,1774.788,0.456,1.757,2.679,3.205,3.55,3.55,293.278,1177.004,1786.628,2064.461,2460.564,2460.564,0.293,1.177,1.787,2.064,2.461,2.461,1.821,12.607,24.163,31.616,42.452,42.452,0.02,0.139,0.266,0.348,0.467,0.467
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,11289.864,0.0,0.0,143.268,252.462,424.885,424.885,0.0,0.0,28.654,50.492,84.977,84.977,0.0,75.707,211.479,305.594,726.441,726.441,0.0,7.571,21.148,30.559,72.644,72.644,0.0,75.707,252.462,335.761,861.411,861.411,0.0,3.785,12.623,16.788,43.071,43.071,0.0,75.707,305.594,430.471,1133.749,1133.749,0.0,2.271,9.168,12.914,34.012,34.012,0.0,109.475,305.594,521.027,1201.241,1201.241,0.0,0.73,2.037,3.474,8.008,8.008,0.0,109.475,305.594,521.027,1238.728,1238.728,0.0,0.365,1.019,1.737,4.129,4.129,0.0,143.268,335.761,655.456,1359.424,1359.424,0.0,0.716,1.679,3.277,6.797,6.797,0.0,189.311,335.761,693.672,1475.658,1475.658,0.0,0.189,0.336,0.694,1.476,1.476,38.047,211.479,461.808,919.14,1754.996,1754.996,0.076,0.423,0.924,1.838,3.51,3.51,38.047,252.462,693.672,1235.043,1876.118,1876.118,0.038,0.252,0.694,1.235,1.876,1.876,0.114,16.303,78.28,123.008,260.5,260.5,0.001,0.144,0.693,1.09,2.307,2.307
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,14692.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,6858.777,0.0,0.0,0.0,0.0,952.976,952.976,0.0,0.0,0.0,0.0,190.595,190.595,0.0,0.0,0.0,0.0,2233.515,2233.515,0.0,0.0,0.0,0.0,223.352,223.352,0.0,0.0,0.0,226.39,3493.49,3493.49,0.0,0.0,0.0,11.319,174.675,174.675,0.0,0.0,0.0,1428.629,3611.399,3611.399,0.0,0.0,0.0,42.859,108.342,108.342,0.0,0.0,0.0,1555.495,3611.399,3611.399,0.0,0.0,0.0,10.37,24.076,24.076,0.0,0.0,0.0,2166.171,3695.305,3695.305,0.0,0.0,0.0,7.221,12.318,12.318,0.0,0.0,0.0,3221.606,3958.917,3958.917,0.0,0.0,0.0,16.108,19.795,19.795,0.0,0.0,0.0,3336.431,3958.917,3958.917,0.0,0.0,0.0,3.336,3.959,3.959,0.0,0.0,97.317,3336.431,4043.764,4043.764,0.0,0.0,0.195,6.673,8.088,8.088,0.0,0.0,704.521,3336.431,4212.329,4212.329,0.0,0.0,0.705,3.336,4.212,4.212,0.0,0.0,0.899,101.223,769.41,769.41,0.0,0.0,0.013,1.476,11.218,11.218
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,4013.603,0.0,0.0,0.0,126.044,126.044,126.044,0.0,0.0,0.0,25.209,25.209,25.209,0.0,0.0,126.044,219.153,309.746,309.746,0.0,0.0,12.604,21.915,30.975,30.975,0.0,126.044,309.746,449.614,593.959,593.959,0.0,6.302,15.487,22.481,29.698,29.698,0.0,182.847,593.959,792.539,908.459,908.459,0.0,5.485,17.819,23.776,27.254,27.254,0.0,267.69,638.265,837.332,1018.457,1018.457,0.0,1.785,4.255,5.582,6.79,6.79,0.0,309.746,792.539,908.459,1147.573,1147.573,0.0,1.032,2.642,3.028,3.825,3.825,23.871,485.924,908.459,1147.573,1147.573,1147.573,0.119,2.43,4.542,5.738,5.738,5.738,23.871,593.959,1018.457,1147.573,1147.573,1147.573,0.024,0.594,1.018,1.148,1.148,1.148,126.044,837.332,1147.573,1147.573,1147.573,1147.573,0.252,1.675,2.295,2.295,2.295,2.295,182.847,1018.457,1147.573,1147.573,1179.344,1179.344,0.183,1.018,1.148,1.148,1.179,1.179,0.578,20.321,61.811,112.319,134.11,134.11,0.014,0.506,1.54,2.798,3.341,3.341
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,14812.475,0.0,0.0,0.0,66.541,902.306,902.306,0.0,0.0,0.0,13.308,180.461,180.461,0.0,0.0,0.0,194.474,1726.426,1726.426,0.0,0.0,0.0,19.447,172.643,172.643,0.0,0.0,0.0,467.828,1845.832,1845.832,0.0,0.0,0.0,23.391,92.292,92.292,0.0,0.0,66.541,1052.425,1903.327,1903.327,0.0,0.0,1.996,31.573,57.1,57.1,0.0,0.0,66.541,1181.009,2016.422,2016.422,0.0,0.0,0.444,7.873,13.443,13.443,0.0,0.0,66.541,1281.593,2016.422,2016.422,0.0,0.0,0.222,4.272,6.721,6.721,0.0,0.0,125.337,1555.972,2320.596,2320.596,0.0,0.0,0.627,7.78,11.603,11.603,0.0,0.0,191.776,1594.56,2379.155,2379.155,0.0,0.0,0.192,1.595,2.379,2.379,0.0,0.0,546.994,1713.793,2540.116,2540.116,0.0,0.0,1.094,3.428,5.08,5.08,0.0,0.0,690.346,1713.793,2610.665,2610.665,0.0,0.0,0.69,1.714,2.611,2.611,0.0,0.0,5.264,114.381,544.333,544.333,0.0,0.0,0.036,0.772,3.675,3.675
