ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,RP5_pop_WPOP20_exp,RP10_pop_WPOP20_exp,RP20_pop_WPOP20_exp,RP50_pop_WPOP20_exp,RP75_pop_WPOP20_exp,RP100_pop_WPOP20_exp,RP200_pop_WPOP20_exp,RP250_pop_WPOP20_exp,RP500_pop_WPOP20_exp,RP1000_pop_WPOP20_exp,RP5_pop_WPOP20_imp,RP10_pop_WPOP20_imp,RP20_pop_WPOP20_imp,RP50_pop_WPOP20_imp,RP75_pop_WPOP20_imp,RP100_pop_WPOP20_imp,RP200_pop_WPOP20_imp,RP250_pop_WPOP20_imp,RP500_pop_WPOP20_imp,RP1000_pop_WPOP20_imp,RP5_EAI,RP10_EAI,RP20_EAI,RP50_EAI,RP75_EAI,RP100_EAI,RP200_EAI,RP250_EAI,RP500_EAI,RP1000_EAI,pop_WPOP20_EAI,pop_WPOP20_EAI%
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,8230.104,0.0,0.0,1071.063,1248.685,1356.062,1399.749,1462.821,1527.684,1615.595,1846.227,0.0,0.0,4.926,6.696,7.679,8.442,10.689,11.629,14.79,18.994,0.0,0.0,0.246,0.201,0.051,0.028,0.053,0.012,0.03,0.019,0.64,0.008
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,3889.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,8769.965,0.0,4.332,749.319,1027.976,1027.976,1027.976,1036.269,1043.486,1166.651,1365.721,0.0,0.009,1.492,2.215,2.36,2.496,2.872,3.015,3.908,5.213,0.0,0.001,0.075,0.066,0.016,0.008,0.014,0.003,0.008,0.005,0.196,0.002
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,9087.185,0.0,0.0,66.76,513.587,878.481,1028.034,1383.475,1495.269,1774.788,2460.564,0.0,0.0,0.229,3.084,5.548,7.539,13.651,16.253,25.572,39.484,0.0,0.0,0.011,0.093,0.037,0.025,0.068,0.016,0.051,0.039,0.341,0.004
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,11289.864,424.885,726.441,861.411,1133.749,1201.241,1238.728,1359.424,1475.658,1754.996,1876.118,1.396,2.613,3.261,4.251,4.601,4.838,5.509,5.887,7.253,8.878,0.279,0.261,0.163,0.128,0.031,0.016,0.028,0.006,0.015,0.009,0.935,0.008
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,14692.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,6858.777,952.976,2233.515,3493.49,3611.399,3611.399,3695.305,3958.917,3958.917,4043.763,4212.33,1.879,4.713,7.674,8.731,9.072,9.464,10.711,10.953,11.827,12.823,0.376,0.471,0.384,0.262,0.06,0.032,0.054,0.011,0.024,0.013,1.686,0.025
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,4013.603,126.044,309.746,593.959,908.459,1018.457,1147.573,1147.573,1147.573,1147.573,1179.344,0.368,1.195,2.634,5.065,6.339,7.548,10.708,11.988,16.79,22.803,0.074,0.119,0.132,0.152,0.042,0.025,0.054,0.012,0.034,0.023,0.666,0.017
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,14812.475,902.306,1726.427,1845.832,1903.327,2016.422,2016.422,2320.596,2379.155,2540.116,2610.665,1.907,3.828,4.406,4.968,5.369,5.505,6.411,6.642,7.333,7.875,0.381,0.383,0.22,0.149,0.036,0.018,0.032,0.007,0.015,0.008,1.249,0.008
