ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,RP5_pop_WPOP20_C4,RP5_pop_WPOP20_C3,RP5_pop_WPOP20_C2,RP5_pop_WPOP20_C1,RP5_pop_WPOP20_C0,RP5_pop_WPOP20_C4_EAE,RP5_pop_WPOP20_C3_EAE,RP5_pop_WPOP20_C2_EAE,RP5_pop_WPOP20_C1_EAE,RP5_pop_WPOP20_C0_EAE,RP20_pop_WPOP20_C4,RP20_pop_WPOP20_C3,RP20_pop_WPOP20_C2,RP20_pop_WPOP20_C1,RP20_pop_WPOP20_C0,RP20_pop_WPOP20_C4_EAE,RP20_pop_WPOP20_C3_EAE,RP20_pop_WPOP20_C2_EAE,RP20_pop_WPOP20_C1_EAE,RP20_pop_WPOP20_C0_EAE,RP100_pop_WPOP20_C4,RP100_pop_WPOP20_C3,RP100_pop_WPOP20_C2,RP100_pop_WPOP20_C1,RP100_pop_WPOP20_C0,RP100_pop_WPOP20_C4_EAE,RP100_pop_WPOP20_C3_EAE,RP100_pop_WPOP20_C2_EAE,RP100_pop_WPOP20_C1_EAE,RP100_pop_WPOP20_C0_EAE,pop_WPOP20_C4_EAE,pop_WPOP20_C3_EAE,pop_WPOP20_C2_EAE,pop_WPOP20_C1_EAE,pop_WPOP20_C0_EAE,pop_WPOP20_C4_EAE%,pop_WPOP20_C3_EAE%,pop_WPOP20_C2_EAE%,pop_WPOP20_C1_EAE%,pop_WPOP20_C0_EAE%
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,8230.104,7846.433,7846.433,7846.433,7846.433,7846.433,1569.287,1569.287,1569.287,1569.287,1569.287,7846.433,7846.433,7846.433,7846.433,7846.433,1176.965,1176.965,1176.965,1176.965,1176.965,7846.433,7846.433,7846.433,7846.433,7846.433,313.857,313.857,313.857,313.857,313.857,3060.109,3060.109,3060.109,3060.109,3060.109,37.182,37.182,37.182,37.182,37.182
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,3889.534,0.0,3525.38,3525.38,3525.38,3525.38,0.0,705.076,705.076,705.076,705.076,3292.339,3525.38,3525.38,3525.38,3525.38,493.851,528.807,528.807,528.807,528.807,3525.38,3525.38,3525.38,3525.38,3525.38,141.015,141.015,141.015,141.015,141.015,634.866,1374.898,1374.898,1374.898,1374.898,16.322,35.349,35.349,35.349,35.349
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,8769.965,8655.419,8655.419,8655.419,8655.419,8655.419,1731.084,1731.084,1731.084,1731.084,1731.084,8655.419,8655.419,8655.419,8655.419,8655.419,1298.313,1298.313,1298.313,1298.313,1298.313,8655.419,8655.419,8655.419,8655.419,8655.419,346.217,346.217,346.217,346.217,346.217,3375.614,3375.614,3375.614,3375.614,3375.614,38.491,38.491,38.491,38.491,38.491
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,9087.185,8881.603,8881.603,8881.603,8881.603,8881.603,1776.321,1776.321,1776.321,1776.321,1776.321,8881.603,8881.603,8881.603,8881.603,8881.603,1332.24,1332.24,1332.24,1332.24,1332.24,8881.603,8881.603,8881.603,8881.603,8881.603,355.264,355.264,355.264,355.264,355.264,3463.825,3463.825,3463.825,3463.825,3463.825,38.118,38.118,38.118,38.118,38.118
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,11289.864,10410.78,10410.78,10410.78,10410.78,10410.78,2082.156,2082.156,2082.156,2082.156,2082.156,10410.78,10410.78,10410.78,10410.78,10410.78,1561.617,1561.617,1561.617,1561.617,1561.617,10410.78,10410.78,10410.78,10410.78,10410.78,416.431,416.431,416.431,416.431,416.431,4060.204,4060.204,4060.204,4060.204,4060.204,35.963,35.963,35.963,35.963,35.963
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,14692.772,13821.548,13821.548,13821.548,13821.548,13821.548,2764.31,2764.31,2764.31,2764.31,2764.31,13821.548,13821.548,13821.548,13821.548,13821.548,2073.232,2073.232,2073.232,2073.232,2073.232,13821.548,13821.548,13821.548,13821.548,13821.548,552.862,552.862,552.862,552.862,552.862,5390.404,5390.404,5390.404,5390.404,5390.404,36.687,36.687,36.687,36.687,36.687
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,6858.777,6858.778,6858.778,6858.778,6858.778,6858.778,1371.756,1371.756,1371.756,1371.756,1371.756,6858.778,6858.778,6858.778,6858.778,6858.778,1028.817,1028.817,1028.817,1028.817,1028.817,6858.778,6858.778,6858.778,6858.778,6858.778,274.351,274.351,274.351,274.351,274.351,2674.923,2674.923,2674.923,2674.923,2674.923,39.0,39.0,39.0,39.0,39.0
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,4013.603,3679.794,3679.794,3679.794,3679.794,3679.794,735.959,735.959,735.959,735.959,735.959,3679.794,3679.794,3679.794,3679.794,3679.794,551.969,551.969,551.969,551.969,551.969,3679.794,3679.794,3679.794,3679.794,3679.794,147.192,147.192,147.192,147.192,147.192,1435.12,1435.12,1435.12,1435.12,1435.12,35.756,35.756,35.756,35.756,35.756
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,14812.475,13725.445,13725.445,13725.445,13725.445,13725.445,2745.089,2745.089,2745.089,2745.089,2745.089,13725.445,13725.445,13725.445,13725.445,13725.445,2058.817,2058.817,2058.817,2058.817,2058.817,13725.445,13725.445,13725.445,13725.445,13725.445,549.018,549.018,549.018,549.018,549.018,5352.923,5352.923,5352.923,5352.923,5352.923,36.138,36.138,36.138,36.138,36.138
