ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_builtup_WSF19,builtup_WSF19_C2,builtup_WSF19_C1,builtup_WSF19_C0,builtup_WSF19_C2%,builtup_WSF19_C1%,builtup_WSF19_C0%
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,4.32,0,0,0,0,0,0
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,102.929,0,0,0,0,0,0
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,7.544,0,0,0,0,0,0
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,80.718,0,0,0,0,0,0
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,82.674,0,0,0,0,0,0
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,60.174,0.267,0.726,0.726,0.00443713231628278,0.0120650114667464,0.0120650114667464
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,233.855,0,0,0,0,0,0
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,79.036,0,0,0,0,0,0
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,25.165,0,0,0,0,0,0
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,138.75,0.014,0.953,0.953,0.000100900900900901,0.00686846846846847,0.00686846846846847
141201,1412,14,KHM,Ampil Krau,Sithor Kandal,Prey Veng,Cambodia,45.667,0,0,0,0,0,0
20405,204,2,KHM,Ampil Pram Daeum,Bavel,Battambang,Cambodia,119.689,0,0,0,0,0,0
250301,2503,25,KHM,Ampil Ta Pok,Ou Reang Ov,Tboung Khmum,Cambodia,110.989,0,0,0,0,0,0
40501,405,4,KHM,Ampil Tuek,Kampong Tralach,Kampong Chhnang,Cambodia,49.984,0,0,0,0,0,0
