ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_builtup_WSF19,RP10_builtup_WSF19_exp,RP20_builtup_WSF19_exp,RP50_builtup_WSF19_exp,RP100_builtup_WSF19_exp,RP200_builtup_WSF19_exp,RP500_builtup_WSF19_exp,RP10_builtup_WSF19_imp,RP20_builtup_WSF19_imp,RP50_builtup_WSF19_imp,RP100_builtup_WSF19_imp,RP200_builtup_WSF19_imp,RP500_builtup_WSF19_imp,RP10_EAI,RP20_EAI,RP50_EAI,RP100_EAI,RP200_EAI,RP500_EAI,builtup_WSF19_EAI,builtup_WSF19_EAI%
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,4.32,0,0,4.304,4.304,4.304,4.304,0,0,0.0,0.001,0.008,0.026,0,0,0.0,0.0,0.0,0.0,0.0,0.003
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,102.929,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,7.544,0,0,3.372,5.809,5.809,5.809,0,0,0.0,0.001,0.007,0.019,0,0,0.0,0.0,0.0,0.0,0.0,0.001
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,80.718,0,0,0.0,0.0,0.0,76.897,0,0,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,82.674,0,0,0.0,0.0,80.418,80.418,0,0,0.0,0.0,0.0,0.018,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,60.174,0,0,0.0,0.0,0.0,58.344,0,0,0.0,0.0,0.0,0.007,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,233.855,0,0,0.0,0.0,45.63,221.655,0,0,0.0,0.0,0.0,0.035,0,0,0.0,0.0,0.0,0.0,0.0,0.0
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,79.036,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,25.165,0,0,0.0,24.39,24.39,24.39,0,0,0.0,0.0,0.008,0.052,0,0,0.0,0.0,0.0,0.0,0.0,0.001
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,138.75,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
