ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,RP10_pop_WPOP20_C6,RP10_pop_WPOP20_C5,RP10_pop_WPOP20_C4,RP10_pop_WPOP20_C3,RP10_pop_WPOP20_C2,RP10_pop_WPOP20_C1,RP10_pop_WPOP20_C0,RP10_pop_WPOP20_C6_EAE,RP10_pop_WPOP20_C5_EAE,RP10_pop_WPOP20_C4_EAE,RP10_pop_WPOP20_C3_EAE,RP10_pop_WPOP20_C2_EAE,RP10_pop_WPOP20_C1_EAE,RP10_pop_WPOP20_C0_EAE,RP20_pop_WPOP20_C6,RP20_pop_WPOP20_C5,RP20_pop_WPOP20_C4,RP20_pop_WPOP20_C3,RP20_pop_WPOP20_C2,RP20_pop_WPOP20_C1,RP20_pop_WPOP20_C0,RP20_pop_WPOP20_C6_EAE,RP20_pop_WPOP20_C5_EAE,RP20_pop_WPOP20_C4_EAE,RP20_pop_WPOP20_C3_EAE,RP20_pop_WPOP20_C2_EAE,RP20_pop_WPOP20_C1_EAE,RP20_pop_WPOP20_C0_EAE,RP50_pop_WPOP20_C6,RP50_pop_WPOP20_C5,RP50_pop_WPOP20_C4,RP50_pop_WPOP20_C3,RP50_pop_WPOP20_C2,RP50_pop_WPOP20_C1,RP50_pop_WPOP20_C0,RP50_pop_WPOP20_C6_EAE,RP50_pop_WPOP20_C5_EAE,RP50_pop_WPOP20_C4_EAE,RP50_pop_WPOP20_C3_EAE,RP50_pop_WPOP20_C2_EAE,RP50_pop_WPOP20_C1_EAE,RP50_pop_WPOP20_C0_EAE,RP100_pop_WPOP20_C6,RP100_pop_WPOP20_C5,RP100_pop_WPOP20_C4,RP100_pop_WPOP20_C3,RP100_pop_WPOP20_C2,RP100_pop_WPOP20_C1,RP100_pop_WPOP20_C0,RP100_pop_WPOP20_C6_EAE,RP100_pop_WPOP20_C5_EAE,RP100_pop_WPOP20_C4_EAE,RP100_pop_WPOP20_C3_EAE,RP100_pop_WPOP20_C2_EAE,RP100_pop_WPOP20_C1_EAE,RP100_pop_WPOP20_C0_EAE,RP200_pop_WPOP20_C6,RP200_pop_WPOP20_C5,RP200_pop_WPOP20_C4,RP200_pop_WPOP20_C3,RP200_pop_WPOP20_C2,RP200_pop_WPOP20_C1,RP200_pop_WPOP20_C0,RP200_pop_WPOP20_C6_EAE,RP200_pop_WPOP20_C5_EAE,RP200_pop_WPOP20_C4_EAE,RP200_pop_WPOP20_C3_EAE,RP200_pop_WPOP20_C2_EAE,RP200_pop_WPOP20_C1_EAE,RP200_pop_WPOP20_C0_EAE,RP500_pop_WPOP20_C6,RP500_pop_WPOP20_C5,RP500_pop_WPOP20_C4,RP500_pop_WPOP20_C3,RP500_pop_WPOP20_C2,RP500_pop_WPOP20_C1,RP500_pop_WPOP20_C0,RP500_pop_WPOP20_C6_EAE,RP500_pop_WPOP20_C5_EAE,RP500_pop_WPOP20_C4_EAE,RP500_pop_WPOP20_C3_EAE,RP500_pop_WPOP20_C2_EAE,RP500_pop_WPOP20_C1_EAE,RP500_pop_WPOP20_C0_EAE,pop_WPOP20_C6_EAE,pop_WPOP20_C5_EAE,pop_WPOP20_C4_EAE,pop_WPOP20_C3_EAE,pop_WPOP20_C2_EAE,pop_WPOP20_C1_EAE,pop_WPOP20_C0_EAE,pop_WPOP20_C6_EAE%,pop_WPOP20_C5_EAE%,pop_WPOP20_C4_EAE%,pop_WPOP20_C3_EAE%,pop_WPOP20_C2_EAE%,pop_WPOP20_C1_EAE%,pop_WPOP20_C0_EAE%
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,8230.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,3889.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3525.38,3525.38,0.0,0.0,0.0,0.0,0.0,105.761,105.761,0.0,0.0,0.0,0.0,0.0,3525.38,3525.38,0.0,0.0,0.0,0.0,0.0,35.254,35.254,0.0,0.0,0.0,0.0,0.0,3525.38,3525.38,0.0,0.0,0.0,0.0,0.0,17.627,17.627,0.0,0.0,0.0,0.0,3292.339,3525.38,3525.38,0.0,0.0,0.0,0.0,9.877,10.576,10.576,0.0,0.0,0.0,0.0,9.877,169.218,169.218,0.0,0.0,0.0,0.0,0.254,4.351,4.351
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,8769.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8655.419,8655.419,0.0,0.0,0.0,0.0,0.0,25.966,25.966,0.0,0.0,0.0,0.0,0.0,25.966,25.966,0.0,0.0,0.0,0.0,0.0,0.296,0.296
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,9087.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8881.603,8881.603,0.0,0.0,0.0,0.0,0.0,44.408,44.408,0.0,0.0,0.0,0.0,0.0,8881.603,8881.603,0.0,0.0,0.0,0.0,0.0,26.645,26.645,0.0,0.0,0.0,0.0,0.0,71.053,71.053,0.0,0.0,0.0,0.0,0.0,0.782,0.782
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,11289.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7195.438,7195.438,0.0,0.0,0.0,0.0,0.0,35.977,35.977,0.0,0.0,0.0,0.0,0.0,10410.78,10410.78,0.0,0.0,0.0,0.0,0.0,31.232,31.232,0.0,0.0,0.0,0.0,0.0,67.21,67.21,0.0,0.0,0.0,0.0,0.0,0.595,0.595
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,14692.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13821.548,13821.548,0.0,0.0,0.0,0.0,0.0,69.108,69.108,0.0,0.0,0.0,0.0,0.0,13821.548,13821.548,0.0,0.0,0.0,0.0,0.0,41.465,41.465,0.0,0.0,0.0,0.0,0.0,110.572,110.572,0.0,0.0,0.0,0.0,0.0,0.753,0.753
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,6858.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,4013.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3679.794,3679.794,0.0,0.0,0.0,0.0,0.0,36.798,36.798,0.0,0.0,0.0,0.0,0.0,3679.794,3679.794,0.0,0.0,0.0,0.0,0.0,18.399,18.399,0.0,0.0,0.0,0.0,0.0,3679.794,3679.794,0.0,0.0,0.0,0.0,0.0,11.039,11.039,0.0,0.0,0.0,0.0,0.0,66.236,66.236,0.0,0.0,0.0,0.0,0.0,1.65,1.65
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,14812.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
